Aver_delta,L
2.4,1.653061224
2.326530612,1.653061224
2.253061224,1.653061224
2.179591837,1.653061224
2.106122449,1.653061224
2.032653061,1.653061224
1.959183673,1.653061224
1.885714286,1.653061224
1.812244898,1.653061224
1.73877551,1.653061224
1.665306122,1.653061224
1.591836735,1.653061224
1.518367347,1.653061224
1.444897959,1.653061224
1.371428571,1.653061224
1.297959184,1.653061224
1.224489796,1.653061224
1.151020408,1.653061224
1.07755102,1.653061224
1.004081633,1.653061224
0.930612245,1.653061224
0.857142857,1.653061224
0.783673469,1.653061224
0.710204082,1.653061224
0.636734694,1.653061224
0.563265306,1.653061224
0.489795918,1.653061224
0.416326531,1.653061224
0.342857143,1.653061224
0.269387755,1.653061224
0.195918367,1.653061224
0.12244898,1.653061224
0.048979592,1.653061224
-0.024489796,1.653061224
-0.097959184,1.653061224
-0.171428571,1.653061224
-0.244897959,1.653061224
-0.318367347,1.653061224
-0.391836735,1.653061224
-0.465306122,1.653061224
-0.53877551,1.653061224
-0.612244898,1.653061224
-0.685714286,1.653061224
-0.759183673,1.653061224
-0.832653061,1.653061224
-0.906122449,1.653061224
-0.979591837,1.653061224
-1.053061224,1.653061224
-1.126530612,1.653061224
-1.2,1.653061224
2.4,1.734693878
2.326530612,1.734693878
2.253061224,1.734693878
2.179591837,1.734693878
2.106122449,1.734693878
2.032653061,1.734693878
1.959183673,1.734693878
1.885714286,1.734693878
1.812244898,1.734693878
1.73877551,1.734693878
1.665306122,1.734693878
1.591836735,1.734693878
1.518367347,1.734693878
1.444897959,1.734693878
1.371428571,1.734693878
1.297959184,1.734693878
1.224489796,1.734693878
1.151020408,1.734693878
1.07755102,1.734693878
1.004081633,1.734693878
0.930612245,1.734693878
0.857142857,1.734693878
0.783673469,1.734693878
0.710204082,1.734693878
0.636734694,1.734693878
0.563265306,1.734693878
0.489795918,1.734693878
0.416326531,1.734693878
0.342857143,1.734693878
0.269387755,1.734693878
0.195918367,1.734693878
0.12244898,1.734693878
0.048979592,1.734693878
-0.024489796,1.734693878
-0.097959184,1.734693878
-0.171428571,1.734693878
-0.244897959,1.734693878
-0.318367347,1.734693878
-0.391836735,1.734693878
-0.465306122,1.734693878
-0.53877551,1.734693878
-0.612244898,1.734693878
-0.685714286,1.734693878
-0.759183673,1.734693878
-0.832653061,1.734693878
-0.906122449,1.734693878
-0.979591837,1.734693878
-1.053061224,1.734693878
-1.126530612,1.734693878
-1.2,1.734693878
2.4,1.816326531
2.326530612,1.816326531
2.253061224,1.816326531
2.179591837,1.816326531
2.106122449,1.816326531
2.032653061,1.816326531
1.959183673,1.816326531
1.885714286,1.816326531
1.812244898,1.816326531
1.73877551,1.816326531
1.665306122,1.816326531
1.591836735,1.816326531
1.518367347,1.816326531
1.444897959,1.816326531
1.371428571,1.816326531
1.297959184,1.816326531
1.224489796,1.816326531
1.151020408,1.816326531
1.07755102,1.816326531
1.004081633,1.816326531
0.930612245,1.816326531
0.857142857,1.816326531
0.783673469,1.816326531
0.710204082,1.816326531
0.636734694,1.816326531
0.563265306,1.816326531
0.489795918,1.816326531
0.416326531,1.816326531
0.342857143,1.816326531
0.269387755,1.816326531
0.195918367,1.816326531
0.12244898,1.816326531
0.048979592,1.816326531
-0.024489796,1.816326531
-0.097959184,1.816326531
-0.171428571,1.816326531
-0.244897959,1.816326531
-0.318367347,1.816326531
-0.391836735,1.816326531
-0.465306122,1.816326531
-0.53877551,1.816326531
-0.612244898,1.816326531
-0.685714286,1.816326531
-0.759183673,1.816326531
-0.832653061,1.816326531
-0.906122449,1.816326531
-0.979591837,1.816326531
-1.053061224,1.816326531
-1.126530612,1.816326531
-1.2,1.816326531
2.4,1.897959184
2.326530612,1.897959184
2.253061224,1.897959184
2.179591837,1.897959184
2.106122449,1.897959184
2.032653061,1.897959184
1.959183673,1.897959184
1.885714286,1.897959184
1.812244898,1.897959184
1.73877551,1.897959184
1.665306122,1.897959184
1.591836735,1.897959184
1.518367347,1.897959184
1.444897959,1.897959184
1.371428571,1.897959184
1.297959184,1.897959184
1.224489796,1.897959184
1.151020408,1.897959184
1.07755102,1.897959184
1.004081633,1.897959184
0.930612245,1.897959184
0.857142857,1.897959184
0.783673469,1.897959184
0.710204082,1.897959184
0.636734694,1.897959184
0.563265306,1.897959184
0.489795918,1.897959184
0.416326531,1.897959184
0.342857143,1.897959184
0.269387755,1.897959184
0.195918367,1.897959184
0.12244898,1.897959184
0.048979592,1.897959184
-0.024489796,1.897959184
-0.097959184,1.897959184
-0.171428571,1.897959184
-0.244897959,1.897959184
-0.318367347,1.897959184
-0.391836735,1.897959184
-0.465306122,1.897959184
-0.53877551,1.897959184
-0.612244898,1.897959184
-0.685714286,1.897959184
-0.759183673,1.897959184
-0.832653061,1.897959184
-0.906122449,1.897959184
-0.979591837,1.897959184
-1.053061224,1.897959184
-1.126530612,1.897959184
-1.2,1.897959184
2.4,1.979591837
2.326530612,1.979591837
2.253061224,1.979591837
2.179591837,1.979591837
2.106122449,1.979591837
2.032653061,1.979591837
1.959183673,1.979591837
1.885714286,1.979591837
1.812244898,1.979591837
1.73877551,1.979591837
1.665306122,1.979591837
1.591836735,1.979591837
1.518367347,1.979591837
1.444897959,1.979591837
1.371428571,1.979591837
1.297959184,1.979591837
1.224489796,1.979591837
1.151020408,1.979591837
1.07755102,1.979591837
1.004081633,1.979591837
0.930612245,1.979591837
0.857142857,1.979591837
0.783673469,1.979591837
0.710204082,1.979591837
0.636734694,1.979591837
0.563265306,1.979591837
0.489795918,1.979591837
0.416326531,1.979591837
0.342857143,1.979591837
0.269387755,1.979591837
0.195918367,1.979591837
0.12244898,1.979591837
0.048979592,1.979591837
-0.024489796,1.979591837
-0.097959184,1.979591837
-0.171428571,1.979591837
-0.244897959,1.979591837
-0.318367347,1.979591837
-0.391836735,1.979591837
-0.465306122,1.979591837
-0.53877551,1.979591837
-0.612244898,1.979591837
-0.685714286,1.979591837
-0.759183673,1.979591837
-0.832653061,1.979591837
-0.906122449,1.979591837
-0.979591837,1.979591837
-1.053061224,1.979591837
-1.126530612,1.979591837
-1.2,1.979591837
2.4,2.06122449
2.326530612,2.06122449
2.253061224,2.06122449
2.179591837,2.06122449
2.106122449,2.06122449
2.032653061,2.06122449
1.959183673,2.06122449
1.885714286,2.06122449
1.812244898,2.06122449
1.73877551,2.06122449
1.665306122,2.06122449
1.591836735,2.06122449
1.518367347,2.06122449
1.444897959,2.06122449
1.371428571,2.06122449
1.297959184,2.06122449
1.224489796,2.06122449
1.151020408,2.06122449
1.07755102,2.06122449
1.004081633,2.06122449
0.930612245,2.06122449
0.857142857,2.06122449
0.783673469,2.06122449
0.710204082,2.06122449
0.636734694,2.06122449
0.563265306,2.06122449
0.489795918,2.06122449
0.416326531,2.06122449
0.342857143,2.06122449
0.269387755,2.06122449
0.195918367,2.06122449
0.12244898,2.06122449
0.048979592,2.06122449
-0.024489796,2.06122449
-0.097959184,2.06122449
-0.171428571,2.06122449
-0.244897959,2.06122449
-0.318367347,2.06122449
-0.391836735,2.06122449
-0.465306122,2.06122449
-0.53877551,2.06122449
-0.612244898,2.06122449
-0.685714286,2.06122449
-0.759183673,2.06122449
-0.832653061,2.06122449
-0.906122449,2.06122449
-0.979591837,2.06122449
-1.053061224,2.06122449
-1.126530612,2.06122449
-1.2,2.06122449
2.4,2.142857143
2.326530612,2.142857143
2.253061224,2.142857143
2.179591837,2.142857143
2.106122449,2.142857143
2.032653061,2.142857143
1.959183673,2.142857143
1.885714286,2.142857143
1.812244898,2.142857143
1.73877551,2.142857143
1.665306122,2.142857143
1.591836735,2.142857143
1.518367347,2.142857143
1.444897959,2.142857143
1.371428571,2.142857143
1.297959184,2.142857143
1.224489796,2.142857143
1.151020408,2.142857143
1.07755102,2.142857143
1.004081633,2.142857143
0.930612245,2.142857143
0.857142857,2.142857143
0.783673469,2.142857143
0.710204082,2.142857143
0.636734694,2.142857143
0.563265306,2.142857143
0.489795918,2.142857143
0.416326531,2.142857143
0.342857143,2.142857143
0.269387755,2.142857143
0.195918367,2.142857143
0.12244898,2.142857143
0.048979592,2.142857143
-0.024489796,2.142857143
-0.097959184,2.142857143
-0.171428571,2.142857143
-0.244897959,2.142857143
-0.318367347,2.142857143
-0.391836735,2.142857143
-0.465306122,2.142857143
-0.53877551,2.142857143
-0.612244898,2.142857143
-0.685714286,2.142857143
-0.759183673,2.142857143
-0.832653061,2.142857143
-0.906122449,2.142857143
-0.979591837,2.142857143
-1.053061224,2.142857143
-1.126530612,2.142857143
-1.2,2.142857143
2.4,2.224489796
2.326530612,2.224489796
2.253061224,2.224489796
2.179591837,2.224489796
2.106122449,2.224489796
2.032653061,2.224489796
1.959183673,2.224489796
1.885714286,2.224489796
1.812244898,2.224489796
1.73877551,2.224489796
1.665306122,2.224489796
1.591836735,2.224489796
1.518367347,2.224489796
1.444897959,2.224489796
1.371428571,2.224489796
1.297959184,2.224489796
1.224489796,2.224489796
1.151020408,2.224489796
1.07755102,2.224489796
1.004081633,2.224489796
0.930612245,2.224489796
0.857142857,2.224489796
0.783673469,2.224489796
0.710204082,2.224489796
0.636734694,2.224489796
0.563265306,2.224489796
0.489795918,2.224489796
0.416326531,2.224489796
0.342857143,2.224489796
0.269387755,2.224489796
0.195918367,2.224489796
0.12244898,2.224489796
0.048979592,2.224489796
-0.024489796,2.224489796
-0.097959184,2.224489796
-0.171428571,2.224489796
-0.244897959,2.224489796
-0.318367347,2.224489796
-0.391836735,2.224489796
-0.465306122,2.224489796
-0.53877551,2.224489796
-0.612244898,2.224489796
-0.685714286,2.224489796
-0.759183673,2.224489796
-0.832653061,2.224489796
