Aver_delta,R
1.73877551,180.6122449
1.665306122,180.6122449
1.591836735,180.6122449
1.518367347,180.6122449
1.444897959,180.6122449
1.371428571,180.6122449
1.297959184,180.6122449
1.224489796,180.6122449
1.151020408,180.6122449
1.07755102,180.6122449
1.004081633,180.6122449
0.930612245,180.6122449
0.857142857,180.6122449
0.783673469,180.6122449
0.710204082,180.6122449
0.636734694,180.6122449
0.563265306,180.6122449
0.489795918,180.6122449
0.416326531,180.6122449
0.342857143,180.6122449
0.269387755,180.6122449
0.195918367,180.6122449
0.12244898,180.6122449
0.048979592,180.6122449
-0.024489796,180.6122449
-0.097959184,180.6122449
-0.171428571,180.6122449
-0.244897959,180.6122449
-0.318367347,180.6122449
-0.391836735,180.6122449
-0.465306122,180.6122449
-0.53877551,180.6122449
-0.612244898,180.6122449
-0.685714286,180.6122449
-0.759183673,180.6122449
-0.832653061,180.6122449
-0.906122449,180.6122449
-0.979591837,180.6122449
-1.053061224,180.6122449
-1.126530612,180.6122449
-1.2,180.6122449
2.4,223.2653061
2.326530612,223.2653061
2.253061224,223.2653061
2.179591837,223.2653061
2.106122449,223.2653061
2.032653061,223.2653061
1.959183673,223.2653061
1.885714286,223.2653061
1.812244898,223.2653061
1.73877551,223.2653061
1.665306122,223.2653061
1.591836735,223.2653061
1.518367347,223.2653061
1.444897959,223.2653061
1.371428571,223.2653061
1.297959184,223.2653061
1.224489796,223.2653061
1.151020408,223.2653061
1.07755102,223.2653061
1.004081633,223.2653061
0.930612245,223.2653061
0.857142857,223.2653061
0.783673469,223.2653061
0.710204082,223.2653061
0.636734694,223.2653061
0.563265306,223.2653061
0.489795918,223.2653061
0.416326531,223.2653061
0.342857143,223.2653061
0.269387755,223.2653061
0.195918367,223.2653061
0.12244898,223.2653061
0.048979592,223.2653061
-0.024489796,223.2653061
-0.097959184,223.2653061
-0.171428571,223.2653061
-0.244897959,223.2653061
-0.318367347,223.2653061
-0.391836735,223.2653061
-0.465306122,223.2653061
-0.53877551,223.2653061
-0.612244898,223.2653061
-0.685714286,223.2653061
-0.759183673,223.2653061
-0.832653061,223.2653061
-0.906122449,223.2653061
-0.979591837,223.2653061
-1.053061224,223.2653061
-1.126530612,223.2653061
-1.2,223.2653061
2.4,265.9183673
2.326530612,265.9183673
2.253061224,265.9183673
2.179591837,265.9183673
2.106122449,265.9183673
2.032653061,265.9183673
1.959183673,265.9183673
1.885714286,265.9183673
1.812244898,265.9183673
1.73877551,265.9183673
1.665306122,265.9183673
1.591836735,265.9183673
1.518367347,265.9183673
1.444897959,265.9183673
1.371428571,265.9183673
1.297959184,265.9183673
1.224489796,265.9183673
1.151020408,265.9183673
1.07755102,265.9183673
1.004081633,265.9183673
0.930612245,265.9183673
0.857142857,265.9183673
0.783673469,265.9183673
0.710204082,265.9183673
0.636734694,265.9183673
0.563265306,265.9183673
0.489795918,265.9183673
0.416326531,265.9183673
0.342857143,265.9183673
0.269387755,265.9183673
0.195918367,265.9183673
0.12244898,265.9183673
0.048979592,265.9183673
-0.024489796,265.9183673
-0.097959184,265.9183673
-0.171428571,265.9183673
-0.244897959,265.9183673
-0.318367347,265.9183673
