R,L
1758.77551,1.244897959
1801.428571,1.244897959
1844.081632,1.244897959
1886.734694,1.244897959
1929.387755,1.244897959
1972.040816,1.244897959
2014.693877,1.244897959
2057.346939,1.244897959
2100,1.244897959
10,1.326530612
52.65306122,1.326530612
95.30612244,1.326530612
137.9591837,1.326530612
180.6122449,1.326530612
223.2653061,1.326530612
265.9183673,1.326530612
308.5714285,1.326530612
351.2244898,1.326530612
393.877551,1.326530612
436.5306122,1.326530612
479.1836734,1.326530612
521.8367346,1.326530612
564.4897959,1.326530612
607.1428571,1.326530612
649.7959183,1.326530612
692.4489795,1.326530612
735.1020407,1.326530612
777.755102,1.326530612
820.4081632,1.326530612
863.0612244,1.326530612
905.7142856,1.326530612
948.3673468,1.326530612
991.0204081,1.326530612
1033.673469,1.326530612
1076.326531,1.326530612
1118.979592,1.326530612
1161.632653,1.326530612
1204.285714,1.326530612
1246.938775,1.326530612
1289.591837,1.326530612
1332.244898,1.326530612
1374.897959,1.326530612
1417.55102,1.326530612
1460.204081,1.326530612
1502.857143,1.326530612
1545.510204,1.326530612
1588.163265,1.326530612
1630.816326,1.326530612
1673.469388,1.326530612
1716.122449,1.326530612
1758.77551,1.326530612
1801.428571,1.326530612
1844.081632,1.326530612
1886.734694,1.326530612
1929.387755,1.326530612
1972.040816,1.326530612
2014.693877,1.326530612
2057.346939,1.326530612
2100,1.326530612
10,1.408163265
52.65306122,1.408163265
95.30612244,1.408163265
137.9591837,1.408163265
180.6122449,1.408163265
223.2653061,1.408163265
265.9183673,1.408163265
308.5714285,1.408163265
351.2244898,1.408163265
393.877551,1.408163265
436.5306122,1.408163265
479.1836734,1.408163265
521.8367346,1.408163265
564.4897959,1.408163265
607.1428571,1.408163265
649.7959183,1.408163265
692.4489795,1.408163265
735.1020407,1.408163265
777.755102,1.408163265
820.4081632,1.408163265
863.0612244,1.408163265
905.7142856,1.408163265
948.3673468,1.408163265
991.0204081,1.408163265
1033.673469,1.408163265
1076.326531,1.408163265
1118.979592,1.408163265
1161.632653,1.408163265
1204.285714,1.408163265
1246.938775,1.408163265
1289.591837,1.408163265
1332.244898,1.408163265
1374.897959,1.408163265
1417.55102,1.408163265
1460.204081,1.408163265
1502.857143,1.408163265
1545.510204,1.408163265
1588.163265,1.408163265
1630.816326,1.408163265
1673.469388,1.408163265
1716.122449,1.408163265
1758.77551,1.408163265
1801.428571,1.408163265
1844.081632,1.408163265
1886.734694,1.408163265
1929.387755,1.408163265
1972.040816,1.408163265
2014.693877,1.408163265
2057.346939,1.408163265
2100,1.408163265
10,1.489795918
52.65306122,1.489795918
95.30612244,1.489795918
137.9591837,1.489795918
180.6122449,1.489795918
223.2653061,1.489795918
265.9183673,1.489795918
308.5714285,1.489795918
351.2244898,1.489795918
393.877551,1.489795918
436.5306122,1.489795918
479.1836734,1.489795918
521.8367346,1.489795918
564.4897959,1.489795918
607.1428571,1.489795918
649.7959183,1.489795918
692.4489795,1.489795918
735.1020407,1.489795918
777.755102,1.489795918
820.4081632,1.489795918
863.0612244,1.489795918
905.7142856,1.489795918
948.3673468,1.489795918
991.0204081,1.489795918
1033.673469,1.489795918
1076.326531,1.489795918
1118.979592,1.489795918
1161.632653,1.489795918
1204.285714,1.489795918
1246.938775,1.489795918
1289.591837,1.489795918
1332.244898,1.489795918
1374.897959,1.489795918
1417.55102,1.489795918
1460.204081,1.489795918
1502.857143,1.489795918
1545.510204,1.489795918
1588.163265,1.489795918
1630.816326,1.489795918
1673.469388,1.489795918
1716.122449,1.489795918
1758.77551,1.489795918
1801.428571,1.489795918
1844.081632,1.489795918
1886.734694,1.489795918
1929.387755,1.489795918
1972.040816,1.489795918
2014.693877,1.489795918
2057.346939,1.489795918
2100,1.489795918
10,1.571428571
52.65306122,1.571428571
95.30612244,1.571428571
137.9591837,1.571428571
180.6122449,1.571428571
223.2653061,1.571428571
265.9183673,1.571428571
308.5714285,1.571428571
351.2244898,1.571428571
393.877551,1.571428571
436.5306122,1.571428571
479.1836734,1.571428571
521.8367346,1.571428571
564.4897959,1.571428571
607.1428571,1.571428571
649.7959183,1.571428571
692.4489795,1.571428571
735.1020407,1.571428571
777.755102,1.571428571
820.4081632,1.571428571
863.0612244,1.571428571
905.7142856,1.571428571
948.3673468,1.571428571
991.0204081,1.571428571
1033.673469,1.571428571
1076.326531,1.571428571
1118.979592,1.571428571
1161.632653,1.571428571
1204.285714,1.571428571
1246.938775,1.571428571
1289.591837,1.571428571
1332.244898,1.571428571
1374.897959,1.571428571
1417.55102,1.571428571
1460.204081,1.571428571
1502.857143,1.571428571
1545.510204,1.571428571
1588.163265,1.571428571
1630.816326,1.571428571
1673.469388,1.571428571
1716.122449,1.571428571
1758.77551,1.571428571
1801.428571,1.571428571
1844.081632,1.571428571
1886.734694,1.571428571
1929.387755,1.571428571
1972.040816,1.571428571
2014.693877,1.571428571
2057.346939,1.571428571
2100,1.571428571
10,1.653061224
52.65306122,1.653061224
95.30612244,1.653061224
137.9591837,1.653061224
180.6122449,1.653061224
223.2653061,1.653061224
265.9183673,1.653061224
308.5714285,1.653061224
351.2244898,1.653061224
393.877551,1.653061224
436.5306122,1.653061224
479.1836734,1.653061224
521.8367346,1.653061224
564.4897959,1.653061224
607.1428571,1.653061224
649.7959183,1.653061224
692.4489795,1.653061224
735.1020407,1.653061224
777.755102,1.653061224
820.4081632,1.653061224
863.0612244,1.653061224
905.7142856,1.653061224
948.3673468,1.653061224
991.0204081,1.653061224
1033.673469,1.653061224
1076.326531,1.653061224
1118.979592,1.653061224
1161.632653,1.653061224
1204.285714,1.653061224
1246.938775,1.653061224
1289.591837,1.653061224
1332.244898,1.653061224
1374.897959,1.653061224
1417.55102,1.653061224
1460.204081,1.653061224
1502.857143,1.653061224
1545.510204,1.653061224
1588.163265,1.653061224
1630.816326,1.653061224
1673.469388,1.653061224
1716.122449,1.653061224
1758.77551,1.653061224
1801.428571,1.653061224
1844.081632,1.653061224
1886.734694,1.653061224
1929.387755,1.653061224
1972.040816,1.653061224
2014.693877,1.653061224
2057.346939,1.653061224
2100,1.653061224
10,1.734693878
52.65306122,1.734693878
95.30612244,1.734693878
137.9591837,1.734693878
180.6122449,1.734693878
223.2653061,1.734693878
265.9183673,1.734693878
308.5714285,1.734693878
351.2244898,1.734693878
393.877551,1.734693878
436.5306122,1.734693878
479.1836734,1.734693878
521.8367346,1.734693878
564.4897959,1.734693878
607.1428571,1.734693878
649.7959183,1.734693878
692.4489795,1.734693878
735.1020407,1.734693878
777.755102,1.734693878
820.4081632,1.734693878
863.0612244,1.734693878
905.7142856,1.734693878
948.3673468,1.734693878
991.0204081,1.734693878
1033.673469,1.734693878
1076.326531,1.734693878
