time,slip velocity (m/s),accumlated slip (m),axial shortening (mm),normal stress (MPa),shear stress (MPa),temp (¢ªC),friction
150,0.002177205,0.376831117,0.44658037,0.355204058,0.590323429,20.25,1.661927604
151,0.002983195,0.379814313,0.44057929,0.369801866,0.608075324,20.25,1.644327357
152,0.002445868,0.382260181,0.43457821,0.338984272,0.562427595,20.3,1.659155428
153,0.003251859,0.38551204,0.43607848,0.345472187,0.564329584,20.3,1.63350222
154,0.002177205,0.387689245,0.43307794,0.348716144,0.572571535,20.3,1.641941576
155,0.002983195,0.39067244,0.4350783,0.351960101,0.572571535,20.3,1.626808077
156,0.001639878,0.392312318,0.43207776,0.332496358,0.557355625,20.15,1.676275881
157,0.002445868,0.394758187,0.43557839,0.337362294,0.559257614,20.3,1.657735985
158,0.002983195,0.397741382,0.43707866,0.345472187,0.568133561,20.35,1.644513171
159,0.002177205,0.399918587,0.43707866,0.347094165,0.58017949,20.2,1.671533399
160,0.002983195,0.402901782,0.43807884,0.338984272,0.568133561,20.4,1.675987967
161,0.001639878,0.40454166,0.43707866,0.337362294,0.565597576,20.2,1.676528726
162,0.002445868,0.406987529,0.44307974,0.348716144,0.572571535,20.3,1.641941576
163,0.002177205,0.409164734,0.44558019,0.35358208,0.583983467,20.25,1.651620658
164,0.002983195,0.412147929,0.44808064,0.355204058,0.58525146,20.25,1.647648573
165,0.001371214,0.413519144,0.44558019,0.340606251,0.568133561,20.25,1.668006855
166,0.002983195,0.416502339,0.44157947,0.347094165,0.58017949,20.35,1.671533399
167,0.002714532,0.419216871,0.43557839,0.329252401,0.560525606,20.35,1.702419194
168,0.001639878,0.420856749,0.43307794,0.332496358,0.563695588,20.2,1.695343646
169,0.002445868,0.423302617,0.43407812,0.343850208,0.568133561,20.2,1.652270518
170,0.002445868,0.425748486,0.43457821,0.335740315,0.552283655,20.2,1.644972709
171,0.002714532,0.428463018,0.43607848,0.332496358,0.555453637,20.3,1.670555552
172,0.001639878,0.430102895,0.43457821,0.334118336,0.559257614,20.25,1.673830954
173,0.003520522,0.433623418,0.43807884,0.343850208,0.57003555,20.3,1.657801963
174,0.002177205,0.435800623,0.43457821,0.327630422,0.533897765,20.4,1.629573228
175,0.002983195,0.438783818,0.43557839,0.329252401,0.533897765,20.25,1.621545548
176,0.001639878,0.440423696,0.43907902,0.335740315,0.552283655,20.3,1.644972709
177,0.002177205,0.442600901,0.44257965,0.345472187,0.567499565,20.3,1.642678013
178,0.001908541,0.444509442,0.44708046,0.340606251,0.572571535,20.15,1.681036486
179,0.002177205,0.446686647,0.44658037,0.345472187,0.576375512,20.3,1.668370233
180,0.002983195,0.449669843,0.44307974,0.345472187,0.58017949,20.25,1.679381184
181,0.003520522,0.453190365,0.43657857,0.329252401,0.529459791,20.25,1.608066608
182,0.002983195,0.456173561,0.43707866,0.330874379,0.53643375,20.3,1.621261068
183,0.001639878,0.457813438,0.43407812,0.337362294,0.555453637,20.3,1.64646034
184,0.001639878,0.459453316,0.43457821,0.342228229,0.560525606,20.35,1.637870749
185,0.001908541,0.461361858,0.43407812,0.321142508,0.537701742,20.3,1.674339987
186,0.002177205,0.463539063,0.4350783,0.321142508,0.540871723,20.35,1.684210935
187,0.002177205,0.465716268,0.43807884,0.322764486,0.531995776,20.25,1.648247557
188,0.001908541,0.467624809,0.43607848,0.321142508,0.540871723,20.25,1.684210935
189,0.002177205,0.469802014,0.43307794,0.316276572,0.528825795,20.2,1.672035939
190,0.002714532,0.472516546,0.43657857,0.329252401,0.544675701,20.3,1.654280119
191,0.002177205,0.474693751,0.44207956,0.326008443,0.548479678,20.2,1.682409425
192,0.003520522,0.478214273,0.44958091,0.343850208,0.568133561,20.3,1.652270518
193,0.002445868,0.480660142,0.44708046,0.335740315,0.562427595,20.3,1.675186357
194,0.002714532,0.483374674,0.44708046,0.337362294,0.574473524,20.35,1.702838564
195,0.002714532,0.486089205,0.44157947,0.337362294,0.569401554,20.4,1.687804371
196,0.002177205,0.48826641,0.43557839,0.319520529,0.540871723,20.2,1.692760477
197,0.002177205,0.490443615,0.43557839,0.335740315,0.558623618,20.25,1.663856239
198,0.002177205,0.49262082,0.43457821,0.343850208,0.569401554,20.4,1.655958148
199,0.002983195,0.495604016,0.43657857,0.343850208,0.567499565,20.35,1.650426703
200,0.002983195,0.498587211,0.43557839,0.326008443,0.538335738,20.25,1.651293852
201,0.002177205,0.500764416,0.43557839,0.321142508,0.537701742,20.25,1.674339987
202,0.002714532,0.503478948,0.43807884,0.332496358,0.567499565,20.25,1.706784305
203,0.002983195,0.506462143,0.4400792,0.347094165,0.606173335,20.3,1.746423294
204,0.003520522,0.509982666,0.43757875,0.327630422,0.546577689,20.45,1.668275143
205,0.002983195,0.512965861,0.43707866,0.329252401,0.552283655,20.35,1.677386875
206,0.002714532,0.515680393,0.44257965,0.340606251,0.567499565,20.3,1.666145479
207,0.002714532,0.518394925,0.44808064,0.337362294,0.567499565,20.3,1.682166548
208,0.001639878,0.520034803,0.44958091,0.334118336,0.562427595,20.25,1.683318555
209,0.002177205,0.522212008,0.44307974,0.337362294,0.566231573,20.3,1.678408
210,0.002983195,0.525195203,0.43607848,0.321142508,0.540871723,20.25,1.684210935
211,0.002714532,0.527909735,0.43557839,0.324386465,0.542773712,20.35,1.673231687
212,0.002445868,0.530355603,0.43657857,0.343850208,0.566231573,20.4,1.646739072
213,0.002714532,0.533070135,0.43557839,0.340606251,0.561159603,20.2,1.647531721
214,0.002714532,0.535784667,0.43657857,0.327630422,0.542773712,20.4,1.656664569
215,0.002445868,0.538230536,0.4350783,0.319520529,0.531995776,20.2,1.664981519
216,0.002445868,0.540676404,0.43807884,0.321142508,0.538335738,20.35,1.676314176
217,0.002177205,0.542853609,0.43757875,0.335740315,0.567499565,20.3,1.690293181
218,0.002445868,0.545299477,0.43857893,0.321142508,0.539603731,20.2,1.680262556
219,0.003520522,0.54882,0.43957911,0.334118336,0.553551648,20.35,1.656753274
220,0.002983195,0.551803195,0.43807884,0.330874379,0.551649659,20.45,1.667248037
221,0.002177205,0.5539804,0.43657857,0.329252401,0.548479678,20.45,1.665833497
222,0.002983195,0.556963595,0.45058109,0.345472187,0.562427595,20.5,1.627996745
223,0.001639878,0.558603473,0.44808064,0.337362294,0.564329584,20.35,1.672770178
224,0.001639878,0.560243351,0.44458001,0.335740315,0.561159603,20.25,1.671409651
225,0.001639878,0.561883229,0.43607848,0.316276572,0.533897765,20.35,1.688072441
226,0.001908541,0.563791771,0.43607848,0.324386465,0.543407708,20.25,1.675186134
227,0.002445868,0.566237639,0.43657857,0.335740315,0.546577689,20.4,1.627977531
228,0.002714532,0.568952171,0.43807884,0.337362294,0.545309697,20.35,1.616391953
229,0.002714532,0.571666703,0.43907902,0.327630422,0.535799753,20.4,1.635378516
230,0.002983195,0.574649898,0.44157947,0.332496358,0.545309697,20.35,1.640047128
231,0.002177205,0.576827103,0.44207956,0.332496358,0.560525606,20.3,1.685809764
232,0.002445868,0.579272972,0.44057929,0.347094165,0.576375512,20.3,1.660573902
233,0.002983195,0.582256167,0.43907902,0.322764486,0.531995776,20.4,1.648247557
234,0.002983195,0.585239362,0.43857893,0.324386465,0.534531761,20.35,1.647823873
235,0.001639878,0.58687924,0.43757875,0.329252401,0.543407708,20.25,1.650428993
236,0.002983195,0.589862436,0.44608028,0.340606251,0.557355625,20.35,1.636363466
237,0.001639878,0.591502314,0.44958091,0.335740315,0.555453637,20.35,1.654414474
238,0.002177205,0.593679519,0.450081,0.340606251,0.564329584,20.3,1.6568386
239,0.001639878,0.595319397,0.44407992,0.351960101,0.573205531,20.15,1.628609406
240,0.002177205,0.597496602,0.43807884,0.330874379,0.547845682,20.25,1.655751294
241,0.001908541,0.599405143,0.43957911,0.345472187,0.552283655,20.2,1.598634208
242,0.002983195,0.602388338,0.43957911,0.360069994,0.554185644,20.3,1.539105322
243,0.002714532,0.60510287,0.43957911,0.348716144,0.552283655,20.25,1.583762797
244,0.002983195,0.608086066,0.44057929,0.343850208,0.542773712,20.3,1.578517911
245,0.002445868,0.610531934,0.44307974,0.343850208,0.553551648,20.2,1.609862769
246,0.001371214,0.611903148,0.44407992,0.351960101,0.561159603,20.2,1.594384139
247,0.002714532,0.61461768,0.44207956,0.368179887,0.576375512,20.3,1.565472566
248,0.002177205,0.616794885,0.43907902,0.337362294,0.538335738,20.3,1.595719938
249,0.002177205,0.61897209,0.44257965,0.351960101,0.557355625,20.15,1.58357616
250,0.002714532,0.621686622,0.4550819,0.356826037,0.579545493,20.3,1.624168176
251,0.002983195,0.624669818,0.45708226,0.360069994,0.595395399,20.25,1.653554612
252,0.002714532,0.627384349,0.45558199,0.348716144,0.583983467,22.65,1.67466714
253,0.002177205,0.629561554,0.44708046,0.345472187,0.57510752,23.7,1.664699915
254,0.001639878,0.631201432,0.43857893,0.317898551,0.534531761,20.4,1.68145391
255,0.002714532,0.633915964,0.43957911,0.329252401,0.553551648,20.4,1.681238001
256,0.002714532,0.636630496,0.44057929,0.343850208,0.554185644,20.25,1.611706584
257,0.001371214,0.638001711,0.43707866,0.329252401,0.534531761,20.3,1.623471111
258,0.002445868,0.640447579,0.43807884,0.322764486,0.531995776,20.3,1.648247557
259,0.003251859,0.643699438,0.44157947,0.329252401,0.543407708,20.25,1.650428993
260,0.002445868,0.646145306,0.44207956,0.330874379,0.548479678,20.35,1.657667418
261,0.002714532,0.648859838,0.44307974,0.343850208,0.57510752,20.25,1.672552485
262,0.002177205,0.651037043,0.44207956,0.327630422,0.533897765,20.25,1.629573228
263,0.002714532,0.653751575,0.44057929,0.335740315,0.547845682,20.2,1.631754237
264,0.001639878,0.655391453,0.43707866,0.329252401,0.541505719,20.2,1.644652304
265,0.002983195,0.658374648,0.44658037,0.348716144,0.564329584,20.35,1.618306447
266,0.002983195,0.661357844,0.45458181,0.35358208,0.57003555,20.25,1.612173192
267,0.002714532,0.664072376,0.4550819,0.363313951,0.588421441,20.25,1.619594951
268,0.00486384,0.668936215,0.44558019,0.355204058,0.573205531,20.25,1.613735874
269,0.002983195,0.671919411,0.44057929,0.338984272,0.543407708,20.2,1.603046963
270,0.002714532,0.674633943,0.44107938,0.36493593,0.565597576,20.3,1.549854454
271,0.002177205,0.676811148,0.44057929,0.360069994,0.560525606,20.4,1.556712905
272,0.002983195,0.679794343,0.44207956,0.348716144,0.544675701,20.4,1.561945755
273,0.002445868,0.682240212,0.44057929,0.343850208,0.540871723,20.25,1.572986465
274,0.002983195,0.685223407,0.44458001,0.348716144,0.556721629,20.35,1.596489405
275,0.003520522,0.688743929,0.44708046,0.360069994,0.576375512,20.35,1.600731863
276,0.002983195,0.691727125,0.44658037,0.35358208,0.548479678,20.35,1.551208926
277,0.003251859,0.694978984,0.44157947,0.334118336,0.533897765,20.3,1.597930153
278,0.002177205,0.697156189,0.44157947,0.337362294,0.545309697,20.3,1.616391953
279,0.002714532,0.69987072,0.45058109,0.345472187,0.564329584,20.3,1.63350222
280,0.002714532,0.702585252,0.45708226,0.350338122,0.572571535,20.3,1.634339794
281,0.002983195,0.705568448,0.45708226,0.345472187,0.588421441,20.35,1.703238245
282,0.002714532,0.70828298,0.45458181,0.342228229,0.589055437,20.35,1.721235674
283,0.002177205,0.710460185,0.43857893,0.314654593,0.530727783,20.35,1.686699621
284,0.002177205,0.712637389,0.43907902,0.322764486,0.543407708,20.35,1.683604396
285,0.002714532,0.715351921,0.44107938,0.343850208,0.560525606,20.3,1.630144736
286,0.002177205,0.717529126,0.43957911,0.340606251,0.547845682,20.4,1.608442829
287,0.001639878,0.719169004,0.43957911,0.326008443,0.53643375,20.25,1.645459681
288,0.002177205,0.721346209,0.44157947,0.329252401,0.548479678,20.3,1.665833497
289,0.002714532,0.724060741,0.44658037,0.332496358,0.560525606,20.35,1.685809764
290,0.002714532,0.726775273,0.4450801,0.347094165,0.569401554,20.4,1.640481491
291,0.002983195,0.729758468,0.44357983,0.329252401,0.534531761,20.25,1.623471111
292,0.002714532,0.732473,0.43957911,0.326008443,0.538335738,20.3,1.651293852
293,0.002983195,0.735456196,0.44157947,0.337362294,0.557355625,20.4,1.652098162
294,0.002445868,0.737902064,0.44407992,0.350338122,0.57510752,20.35,1.641578473
295,0.002714532,0.740616596,0.45408172,0.35358208,0.583983467,20.3,1.651620658
296,0.002445868,0.743062464,0.45558199,0.360069994,0.583349471,20.3,1.620100205
297,0.002714532,0.745776996,0.45458181,0.356826037,0.58525146,20.3,1.640159067
298,0.005132503,0.7509095,0.44407992,0.337362294,0.541505719,20.15,1.605116309
299,0.002177205,0.753086705,0.44157947,0.335740315,0.54974767,20.25,1.637419297
300,0.003520522,0.756607227,0.44407992,0.358448015,0.574473524,20.3,1.602669004
301,0.002983195,0.759590422,0.44307974,0.348716144,0.560525606,20.35,1.607397926
302,0.002177205,0.761767627,0.44057929,0.337362294,0.538335738,20.2,1.595719938
303,0.002983195,0.764750823,0.44558019,0.35358208,0.571303542,20.35,1.615759326
304,0.002445868,0.767196691,0.44758055,0.356826037,0.574473524,20.3,1.609954052
305,0.002177205,0.769373896,0.44658037,0.366557908,0.565597576,20.3,1.542996518
306,0.002714532,0.772088428,0.44307974,0.343850208,0.542773712,20.3,1.578517911
307,0.002983195,0.775071623,0.44307974,0.347094165,0.544675701,20.25,1.569244762
308,0.002177205,0.777248828,0.44458001,0.348716144,0.555453637,20.35,1.592853232
309,0.001908541,0.77915737,0.44808064,0.35358208,0.568133561,20.3,1.606793992
310,0.002177205,0.781334575,0.45458181,0.355204058,0.576375512,20.35,1.622660268
311,0.002445868,0.783780443,0.45458181,0.361691973,0.589055437,20.25,1.628610756
312,0.001371214,0.785151657,0.44908082,0.358448015,0.572571535,20.3,1.597362826
313,0.002714532,0.787866189,0.44207956,0.337362294,0.550381667,20.25,1.631426147
314,0.002177205,0.790043394,0.44307974,0.35358208,0.566231573,20.3,1.601414792
315,0.002983195,0.79302659,0.44407992,0.363313951,0.587153448,20.25,1.616104877
316,0.002983195,0.796009785,0.44558019,0.350338122,0.579545493,20.7,1.654246159
317,0.002983195,0.79899298,0.44407992,0.343850208,0.567499565,22.65,1.650426703
